"Pos","Name","CT","Amount..Copies.","Target","SampleIDNum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"G9","UNKNOWN",29.438,,"ECOLI",101,"11/24/18",11,485,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.34264399570225,220.112139766182,3,73.370713255394,110,8070.77845809333,16.6407803259656
"G10","UNKNOWN",29.107,,"ECOLI",101,"11/24/18",11,485,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.44391276391483,277.915496697335,3,92.6384988991117,110,10190.2348789023,21.010793564747
"G11","UNKNOWN",33.359,,"ECOLI",101,"11/24/18",11,485,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.14302212210246,13.900234344562,3,46.3341144818734,110,5096.75259300608,10.5087682330022
"H3","UNKNOWN",30.425,,"ECOLI",65,"10/13/18",8,495,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.04067337870582,109.817961718762,3,36.6059872395875,110,4026.65859635462,8.13466383101944
"H4","UNKNOWN",30.262,,"ECOLI",65,"10/13/18",8,495,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,2.09054289296156,123.180763883312,3,41.0602546277706,110,4516.62800905477,9.12450102839347
"H5","UNKNOWN",33.02,,"ECOLI",65,"10/13/18",8,495,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.24673847383679,17.6497465714606,3,58.8324885715352,110,6471.57374286887,13.07388634923
"H6","UNKNOWN",32.468,,"ECOLI",94,"11/24/18",4,565,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.41562173683783,26.0388462249502,3,8.67961540831672,110,954.757694914839,1.68983662816786
"H7","UNKNOWN",32.781,,"ECOLI",94,"11/24/18",4,565,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,1.3198600315492,20.886228816291,3,6.96207627209698,110,765.828389930668,1.3554484777534
"H8","UNKNOWN",35.608,,"ECOLI",94,"11/24/18",4,565,"10",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,0.454945204549302,2.85065857383423,3,9.50219524611409,110,1045.24147707255,1.84998491517265
"H9","UNKNOWN",,,"ECOLI",,"",,,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,,,3,,110,,
"H10","UNKNOWN",,,"ECOLI",,"",,,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,,,3,,110,,
"H11","UNKNOWN",,,"ECOLI",,"",,,"1",3,-3.26852993121406,37.0950020181317,0.996411556847139,102.277668970561,,,3,,110,,
