"Pos","Name","CT","Amount..Copies.","Target","SampleINum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"B4","UNKNOWN",25.596,,"genbac","127","12/15/18",2,475,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.03461173195347,10829.582944946,3,3609.86098164867,110,397084.707981354,835.967806276534
"B5","UNKNOWN",29.205,,"genbac","127","12/15/18",2,475,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.01195776912237,1027.91633848717,3,3426.38779495724,110,376902.657445296,793.479278832202
"B6","UNKNOWN",25.909,,"genbac","135","12/15/18",10,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.94591938217066,8829.15990029614,3,2943.05330009871,110,323735.863010859,711.507391232656
"B7","UNKNOWN",25.964,,"genbac","135","12/15/18",10,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.9303344644772,8517.93780096298,3,2839.31260032099,110,312324.386035309,686.427222055625
"B8","UNKNOWN",29.771,,"genbac","135","12/15/18",10,455,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.85157479794963,710.517530936384,3,2368.39176978795,110,260523.094676674,572.578230058624
"B9","UNKNOWN",25.773,,"genbac","167","1/26/19",6,225,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.9844566331945,9648.42961868001,3,3216.14320622667,110,353775.752684934,1572.33667859971
"B10","UNKNOWN",25.333,,"genbac","167","1/26/19",6,225,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.10913597474221,12856.891377358,3,4285.63045911932,110,471419.350503126,2095.19711334722
"B11","UNKNOWN",28.741,,"genbac","167","1/26/19",6,225,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.14343780202723,1391.35451617285,3,4637.84838724285,110,510163.322596713,2267.39254487428
"C3","UNKNOWN",29.236,,"genbac","128","12/15/18",3,430,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.00317354278605,1007.33411616129,3,335.77803872043,110,36935.5842592473,85.8967075796448
"C4","UNKNOWN",29.053,,"genbac","128","12/15/18",3,430,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.05502881438431,1135.08612338208,3,378.362041127359,110,41619.8245240095,96.7902895907197
"C5","UNKNOWN",32.779,,"genbac","128","12/15/18",3,430,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,1.99922148118711,99.8208999944989,3,332.736333314996,110,36600.9966646496,85.1185968945339
"C6","UNKNOWN",26.033,,"genbac","136","12/15/18",11,460,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.9107824768254,8142.96328829041,3,2714.3210960968,110,298575.320570648,649.076783849236
"C7","UNKNOWN",26.289,,"genbac","136","12/15/18",11,460,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.83824176901582,6890.35771490232,3,2296.78590496744,110,252646.449546418,549.231412057431
